"UA_GEOID","UA_NAME","avg_frequency","pct_chain","n_rest"
"00037","Abbeville, LA",3398.77777777778,0.377777777777778,45
"00064","Abbeville, SC",3075.58823529412,0.470588235294118,17
"00091","Abbotsford, WI",3017.45454545455,0.363636363636364,11
"00118","Aberdeen, MS",1736.5,0.333333333333333,6
"00145","Aberdeen, SD",3470.03636363636,0.581818181818182,55
"00172","Aberdeen, WA",2841.31506849315,0.397260273972603,73
"00199","Aberdeen--Bel Air South--Bel Air North, MD",2458.21914357683,0.521410579345088,397
"00226","Abernathy, TX",1060,0.25,4
"00253","Abilene, KS",3239.21052631579,0.578947368421053,19
"00280","Abilene, TX",2473.10612244898,0.56734693877551,245
"00334","Abingdon, IL",3357.5,0.3,10
"00388","Ada, OH",3523.53846153846,0.615384615384615,13
"00415","Ada, OK",2651.43902439024,0.585365853658537,41
"00450","Adams, NY",5252.88888888889,0.444444444444444,9
"00469","Adel, GA",3528.90476190476,0.619047619047619,21
"00496","Adel, IA",2089.26666666667,0.4,15
"00577","Adrian, MI",2278.27777777778,0.444444444444444,108
"00658","Ahoskie, NC",3835.95833333333,0.708333333333333,24
"00676","Air Force Academy, CO",13850.5,1,4
"00712","Ajo, AZ",1.57142857142857,0,7
"00739","Akron, NY",2.375,0.125,8
"00766","Akron, OH",2619.37169650469,0.504688832054561,1173
"00793","Alachua, FL",1390,0.4,20
"00820","Alamogordo, NM",2774.50819672131,0.540983606557377,61
"00847","Alamosa, CO",2313.41509433962,0.452830188679245,53
"00901","Albany, GA",3455.26011560694,0.676300578034682,173
"00921","Albany, MN",443.384615384615,0.461538461538462,13
"00955","Albany, OR",1929.34615384615,0.407692307692308,130
"00970","Albany--Schenectady, NY",2078.82682619647,0.357682619647355,1588
"00982","Albemarle, NC",2778.38095238095,0.571428571428571,63
"01009","Albert Lea, MN",2899.90476190476,0.571428571428571,42
"01036","Albertville, AL",2566.03361344538,0.61344537815126,119
"01063","Albia, IA",2572.41666666667,0.5,12
